Bundesland;BLZ;Name;Adresse ;PLZ;Ort;FN;Info;coordinates;Latitude;Longitude
STMK;38460;Raiffeisenbank Leoben-Bruck eGen;Grazer Straße 63;8605;Kapfenberg;73487w;;(47.4332207, 15.2721147);47.4332207;15.2721147
STMK;38477;Raiffeisenbank Region Graz-Thalerhof eGen;Hauptstraße 135;8401;Kalsdorf/Graz;68209h;;(46.9624212, 15.4794421);46.9624212;15.4794421
STMK;38487;Raiffeisenbank Lipizzanerheimat eGen;Conrad v. Hötzendorf-Straße 5;8570;Voitsberg;47019x;;(47.0501756, 15.1466261);47.0501756;15.1466261
STMK;38497;Raiffeisenbank Region Feldbach eGen;Hauptplatz 18;8330;Feldbach;66811b;;(46.952764, 15.8874743);46.952764;15.8874743
STMK;38499;Raiffeisenbank Wildon-Preding eGen;Leibnitzer Straße 1;8410;Wildon;53999k;;(46.8844348, 15.5194841);46.8844348;15.5194841
KTN;39000;Raiffeisenlandesbank Kärnten - Rechenzentrum und Revisionsverband, registrierte Genossenschaft mit beschränkter Haftung;Raiffeisenplatz 1;9020;Klagenfurt;116094b;;(46.606345, 14.305652);46.606345;14.305652
KTN;39255;Raiffeisenbank Althofen - Guttaring, registrierte Genossenschaft mit beschränkter Haftung;Kreuzstraße 15, Postfach 14;9330;Treibach-Althofen;115003y;;(46.8706486, 14.4689249);46.8706486;14.4689249
KTN;39257;Raiffeisenbank Arnoldstein-Fürnitz eG;Gemeindeplatz 2;9601;Arnoldstein;110960b;;(46.5495021, 13.7102784);46.5495021;13.7102784
KTN;39267;Raiffeisen-Bezirksbank Spittal/Drau, registrierte Genossenschaft mit beschränkter Haftung;Burgplatz 2, Postfach 62;9802;Spittal an der Drau;110971v;;(51.337297, 12.37297);51.337297;12.37297
KTN;39271;Raiffeisenbank Brückl-Eberstein-Klein St. Paul-Waisenberg, registrierte Genossenschaft mit beschränkter Haftung;Hüttenbergerstraße 1, Postfach 9;9371;Brückl;111132f;;(50.529486, 8.646903);50.529486;8.646903
KTN;39272;Raiffeisenbank Bleiburg registrierte Genossenschaft mit beschränkter Haftung;10. Oktoberplatz 13;9150;Bleiburg;116173v;;(46.76554425, 14.3554511);46.76554425;14.3554511
KTN;39288;Raiffeisenbank Eberndorf registrierte Genossenschaft mit beschränkter Haftung;Bahnstraße 22;9141;Eberndorf;118747d;;(46.5889502, 14.6366224);46.5889502;14.6366224
KTN;39292;Raiffeisenbank Lavamünd, registrierte Genossenschaft mit beschränkter Haftung;Lavamünd 41;9473;Lavamünd;113148w;;(46.6424499, 14.9406092);46.6424499;14.9406092
KTN;39320;Raiffeisenbank Grafenstein-Magdalensberg und Umgebung, registrierte Genossenschaft mit beschränkter Haftung;Klopeiner Straße 3;9131;Grafenstein;111194x;;(46.6176252, 14.4658699);46.6176252;14.4658699
KTN;39322;Raiffeisenbank Oberdrautal-Weissensee, registrierte Genossenschaft mit beschränkter Haftung;Greifenburg 120, Postfach 39;9761;Greifenburg;111198b;;(46.7507992, 13.1805742);46.7507992;13.1805742
KTN;39340;Raiffeisenbank Hüttenberg - Wieting, registrierte Genossenschaft mit beschränkter Haftung;Reiftanzplatz 7, Postfach 1;9375;Hüttenberg;114658s;;(46.939746, 14.5485712);46.939746;14.5485712
KTN;39364;Raiffeisenbank Kötschach - Mauthen, registrierte Genossenschaft mit beschränkter Haftung;Kötschach 7;9640;Kötschach;114659t;;(46.6768431, 13.0034785);46.6768431;13.0034785
KTN;39381;Raiffeisenbank Landskron - Gegendtal, registrierte Genossenschaft mit beschränkter Haftung;Ossiacherstraße 26, Postfach 11;9523;Landskron;113036f;;(46.6343744, 13.8831531);46.6343744;13.8831531
KTN;39384;Raiffeisen Regionalbank Längsee-Hochosterwitz eGen;Hauptstraße 12;9314;Launsdorf;111143x;;(46.768165, 14.4559067);46.768165;14.4559067
KTN;39390;Raiffeisenbank Region Wörthersee eG;Karawankenplatz 2;9220;Velden am Wörthersee;118767h;;(46.614187, 14.0412596);46.614187;14.0412596
